n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,0,0.0,1.622232955550603e-08,1.7581898235982834,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration0
20,3,1,1,1,0.0,0.0,1.7766324604175276,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration1
20,3,1,1,2,0.0,0.0,1.7925884286219151,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration2
20,3,1,1,3,0.0,0.0,1.8315603377717558,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration3
20,3,1,1,4,0.0,0.0,1.7734418328862709,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration4
20,3,1,1,5,0.0,0.0,1.7792679962393196,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration5
20,3,1,1,6,0.0,0.0,1.7877079476506819,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration6
20,3,1,1,7,0.0,4.729581163024141e-08,1.8229008009273293,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration7
20,3,1,1,8,0.0,0.0,1.7809046480949524,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration8
20,3,1,1,9,0.0,1.9868214925130207e-08,1.808893119667151,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration9
20,3,1,1,0,0.041666666666666664,0.0,1.7781064962698803,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration0
20,3,1,1,1,0.041666666666666664,0.0,1.7813765426611659,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration1
20,3,1,1,2,0.041666666666666664,0.0,1.8220741335618178,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration2
20,3,1,1,3,0.041666666666666664,0.0,1.7543571970558622,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration3
20,3,1,1,4,0.041666666666666664,0.0,1.7891545548659915,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration4
20,3,1,1,5,0.041666666666666664,0.0,1.7785728898351787,1.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration5
